stance,surface,error_type,timestamp,duration_s
DOUBLE_LEG,FIRM,EYES_OPEN,0.099,0.829
DOUBLE_LEG,FIRM,FOOT_LIFT,0.101,0.743
DOUBLE_LEG,FIRM,HIP_ABDUCTION,0.288,0.556
DOUBLE_LEG,FIRM,FOOT_LIFT,2.116,0.648
DOUBLE_LEG,FIRM,STUMBLE_SWAY,2.573,0.368
DOUBLE_LEG,FIRM,FOOT_LIFT,3.226,0.367
DOUBLE_LEG,FIRM,FOOT_LIFT,5.532,1.01
DOUBLE_LEG,FIRM,HIP_ABDUCTION,5.715,0.55
DOUBLE_LEG,FIRM,FOOT_LIFT,6.729,0.557
DOUBLE_LEG,FIRM,HIP_ABDUCTION,6.916,0.37
DOUBLE_LEG,FIRM,STUMBLE_SWAY,7.193,0.368
DOUBLE_LEG,FIRM,HIP_ABDUCTION,8.201,0.838
DOUBLE_LEG,FIRM,FOOT_LIFT,8.201,0.838
DOUBLE_LEG,FIRM,STUMBLE_SWAY,10.042,0.559
DOUBLE_LEG,FIRM,HIP_ABDUCTION,10.507,0.371
DOUBLE_LEG,FIRM,FOOT_LIFT,10.507,0.371
DOUBLE_LEG,FIRM,STUMBLE_SWAY,12.831,0.652
DOUBLE_LEG,FIRM,FOOT_LIFT,14.038,0.37
DOUBLE_LEG,FIRM,STUMBLE_SWAY,14.319,0.376
DOUBLE_LEG,FIRM,EYES_OPEN,14.785,0.884
DOUBLE_LEG,FIRM,STUMBLE_SWAY,14.785,0.501
DOUBLE_LEG,FIRM,HIP_ABDUCTION,15.089,0.396
DOUBLE_LEG,FIRM,FOOT_LIFT,15.089,0.396
DOUBLE_LEG,FIRM,STUMBLE_SWAY,15.864,0.37
DOUBLE_LEG,FIRM,STUMBLE_SWAY,16.32,0.917
DOUBLE_LEG,FIRM,STUMBLE_SWAY,18.532,0.759
DOUBLE_LEG,FIRM,EYES_OPEN,19.001,1.045
DOUBLE_LEG,FIRM,HIP_ABDUCTION,19.101,0.371
DOUBLE_LEG,FIRM,FOOT_LIFT,19.101,0.459
DOUBLE_LEG,FIRM,STUMBLE_SWAY,19.473,0.0
